galaxy,stationary_role,master_sha256,expected_in_169_profile_compilation,primary_direct_profile_eligible,primary_profile_acquisition_status,public_download_verified,profile_data_ingested,profile_source_class,independent_FEASTS_validation_overlap,do_not_substitute_validation_for_primary,notes,public_overlay_present,effective_public_source_family,effective_acquisition_status,effective_numeric_rows_or_model,effective_source_quantity,effective_helium_status,preferred_public_source,effective_source_artifact,effective_notes
CamB,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,available_nonpublic_request_required,0,0,SPARC_azimuthally_averaged_HI_profile_private_compilation,0,1,"Profile reported available in the 169-galaxy SPARC HI compilation, but no public download verified; acquisition from authors/original literature required before ingestion.",1,Begum Chengalur & Hopp 2003 / FIGGS,analytic_profile_recovered,analytic_model,raw HI surface density,helium not included; source mass model applies x1.4 separately,1,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,CamB = KK44. Native angular Gaussian model recovered; common normalization pending.
D564-8,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,0,0,known_unavailable_in_169_compilation,0,0,none_known_from_compilation,0,1,Known missing from the 169-profile compilation; primary direct-profile analysis excludes unless independently verified direct profile is found pre-fit.,0,,known_unavailable_in_169_compilation,,,,0,,Known missing from the 169-profile compilation; primary direct-profile analysis excludes unless independently verified direct profile is found pre-fit.
D631-7,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,0,0,known_unavailable_in_169_compilation,0,0,none_known_from_compilation,0,1,Known missing from the 169-profile compilation; primary direct-profile analysis excludes unless independently verified direct profile is found pre-fit.,0,,known_unavailable_in_169_compilation,,,,0,,Known missing from the 169-profile compilation; primary direct-profile analysis excludes unless independently verified direct profile is found pre-fit.
DDO064,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,available_nonpublic_request_required,0,0,SPARC_azimuthally_averaged_HI_profile_private_compilation,0,1,"Profile reported available in the 169-galaxy SPARC HI compilation, but no public download verified; acquisition from authors/original literature required before ingestion.",0,,available_nonpublic_request_required,,,,0,,"Profile reported available in the 169-galaxy SPARC HI compilation, but no public download verified; acquisition from authors/original literature required before ingestion."
DDO154,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,available_nonpublic_request_required,0,0,SPARC_azimuthally_averaged_HI_profile_private_compilation,0,1,"Profile reported available in the 169-galaxy SPARC HI compilation, but no public download verified; acquisition from authors/original literature required before ingestion.",1,Leroy et al. 2008 / THINGS,raw_source_profile_ingested,7,source-published SigmaHI,already includes helium,1,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,Machine-readable VizieR table7 profile ingested unchanged; Hunter 2021 analytic model retained as secondary cross-check; common normalization pending.
DDO161,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,available_nonpublic_request_required,0,0,SPARC_azimuthally_averaged_HI_profile_private_compilation,0,1,"Profile reported available in the 169-galaxy SPARC HI compilation, but no public download verified; acquisition from authors/original literature required before ingestion.",1,Cote Carignan & Freeman 2000,direct_profile_identified_numeric_pending,0,published gas surface density,published Figure 3 already includes 4/3 helium,0,validation/stationary/COTE2000_PROFILE_AUDIT_V1.md,One of the exact three Cote frozen overlaps; Figure 3 digitization pending.
DDO168,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,available_nonpublic_request_required,0,0,SPARC_azimuthally_averaged_HI_profile_private_compilation,0,1,"Profile reported available in the 169-galaxy SPARC HI compilation, but no public download verified; acquisition from authors/original literature required before ingestion.",1,Iorio et al. 2017 / LITTLE THINGS,raw_source_profile_ingested,15,raw HI surface density,helium not included,1,data/stationary/source_reconstruction/iorio2017_ddo168_hi_profile_v1.csv,"OUP supplementary online table ingested selectively; 15 source rows, 0.31-4.69 kpc, primary-beam corrected. Hunter 2021 analytic model retained as secondary cross-check."
DDO170,blind,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,available_nonpublic_request_required,0,0,SPARC_azimuthally_averaged_HI_profile_private_compilation,0,1,"Profile reported available in the 169-galaxy SPARC HI compilation, but no public download verified; acquisition from authors/original literature required before ingestion.",0,,available_nonpublic_request_required,,,,0,,"Profile reported available in the 169-galaxy SPARC HI compilation, but no public download verified; acquisition from authors/original literature required before ingestion."
ESO079-G014,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,available_nonpublic_request_required,0,0,SPARC_azimuthally_averaged_HI_profile_private_compilation,0,1,"Profile reported available in the 169-galaxy SPARC HI compilation, but no public download verified; acquisition from authors/original literature required before ingestion.",1,Gentile et al. 2004,raw_source_profile_ingested,12,source-native average radial HI surface density from Gentile et al. 2004 Figure 2 filled-circle vector markers,helium not applied; recovered quantity is HI surface density,1,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,"Gentile et al. 2004 Figure 2 / fig2.eps native vector average profile recovered: 12 radial H I points. Native-grid QC max |delta r|=0.07806 arcsec; independent Table-1 R_HI QC fractional difference=0.7997%. radius_kpc_source_scale uses the source-paper angular scale only; no frozen/common distance renormalization, helium correction, raster digitization, profile fitting, or common-grid resampling applied. Validation: validation/stationary/ge04_vector_hi_profile_extraction_v1.json."
ESO116-G012,blind,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,available_nonpublic_request_required,0,0,SPARC_azimuthally_averaged_HI_profile_private_compilation,0,1,"Profile reported available in the 169-galaxy SPARC HI compilation, but no public download verified; acquisition from authors/original literature required before ingestion.",1,Gentile et al. 2004,raw_source_profile_ingested,14,source-native average radial HI surface density from Gentile et al. 2004 Figure 2 filled-circle vector markers,helium not applied; recovered quantity is HI surface density,1,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,"Gentile et al. 2004 Figure 2 / fig2.eps native vector average profile recovered: 14 radial H I points. Native-grid QC max |delta r|=0.09423 arcsec; independent Table-1 R_HI QC fractional difference=0.5803%. radius_kpc_source_scale uses the source-paper angular scale only; no frozen/common distance renormalization, helium correction, raster digitization, profile fitting, or common-grid resampling applied. Validation: validation/stationary/ge04_vector_hi_profile_extraction_v1.json."
