source_id_1,source_id_2,phase1_kpc,phase2_kpc,best_min_Neff_2kms,best_h_2kms,qualifying_h_2kms,Neff_U_at_best,Neff_V_at_best
2025179884408158464,2072235820984829312,3.675491706021214,7.258123211473825,4.613760634332042,7.0,4.0,4.613760634332042,4.630600059380912
2031745858613175040,2072235820984829312,4.414297908739168,7.258123211473825,4.524408412723344,7.0,4.0,4.524408412723344,4.612677310333991
2025179884408158464,2031745858613175040,3.675491706021214,4.414297908739168,4.51196832386573,7.0,3.0,4.51196832386573,4.61243968935946
2025179884408158464,2162679246615275264,3.675491706021214,11.047321291401156,4.492519591443391,7.0,5.0,4.60201570913544,4.492519591443391
2072235820984829312,2162679246615275264,7.258123211473825,11.047321291401156,4.492000612606774,7.0,5.0,4.672987934203919,4.492000612606774
2031745858613175040,2162679246615275264,4.414297908739168,11.047321291401156,4.443652711934695,7.0,5.0,4.494774627149524,4.443652711934695
2072235820984829312,2059995546465811968,7.258123211473825,7.495451905728237,4.415271916718188,7.0,5.0,4.473735324356392,4.415271916718188
2072235820984829312,1873298884367855872,7.258123211473825,8.701455980597105,4.402829643369766,7.0,5.0,4.402829643369766,4.417621516725348
2025179884408158464,2059995546465811968,3.675491706021214,7.495451905728237,4.380014040554887,7.0,4.0,4.380014040554887,4.414819293646056
4513281175196176512,2031745858613175040,-0.5553821435353719,4.414297908739168,4.353979268839555,7.0,3.0,4.4775016668951375,4.353979268839555
4513281175196176512,2072235820984829312,-0.5553821435353719,7.258123211473825,4.34953638924039,7.0,4.0,4.664674828757069,4.34953638924039
4513281175196176512,2025179884408158464,-0.5553821435353719,3.675491706021214,4.349080010979453,7.0,2.0,4.5890787839476355,4.349080010979453
4160906424545920128,2031745858613175040,-10.492719760197533,4.414297908739168,4.3416070405504845,7.0,4.0,4.523817289433654,4.3416070405504845
2072235820984829312,2165006259882192128,7.258123211473825,11.812473605287641,4.338543531507635,7.0,5.0,4.338543531507635,4.484223616169143
4160906424545920128,2072235820984829312,-10.492719760197533,7.258123211473825,4.3371874534260915,7.0,5.0,4.649199390524592,4.3371874534260915
4160906424545920128,2025179884408158464,-10.492719760197533,3.675491706021214,4.336731879954566,7.0,4.0,4.604887594679555,4.336731879954566
2025179884408158464,1873298884367855872,3.675491706021214,8.701455980597105,4.308882263049561,7.0,5.0,4.308882263049561,4.417169319140384
2162679246615275264,2165006259882192128,11.047321291401156,11.812473605287641,4.286157709868948,7.0,7.0,4.387733629297892,4.286157709868948
2022722274099045376,2195158098523149312,1.9749487268872292,14.622208144751117,4.279576401514663,10.0,7.0,4.711550890765488,4.279576401514663
2059995546465811968,1873298884367855872,7.495451905728237,8.701455980597105,4.253405731698634,7.0,7.0,4.317746924576779,4.253405731698634
2059995546465811968,2165006259882192128,7.495451905728237,11.812473605287641,4.253261726018735,7.0,7.0,4.253261726018735,4.316357533844096
2031745858613175040,2059995546465811968,4.414297908739168,7.495451905728237,4.253178282738392,7.0,4.0,4.253178282738392,4.419389960293613
