pulsar,x_pc,y_pc,z_pc,aGal_1e10_m_s2,aGal_err_1e10_m_s2,model_outlier_ge3sigma,modified_catalog_excluded,source,doi,sun_R_kpc,sun_z_kpc,distance_from_assumed_sun_kpc,a_moran_linear_pred_1e10,a_mcmillan_baryon_pred_1e10,a_mcmillan_total_pred_1e10,resid_moran_linear_1e10,resid_baryon_1e10,resid_total_1e10,zresid_baryon,zresid_total
B1259-63,6661.5,-2150.5,-27.9,391.0,196.0,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,2.6443167189275942,0.3488909569327806,-0.25456153273001436,-0.4913270282038022,390.6511090430672,391.25456153273,391.4913270282038,1.9961967425139286,1.9974047297357336
B1534+12,7532.5,212.1,721.6,0.106,0.313,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,1.0056088802312753,-0.18966385266619334,-0.38201924082830124,-0.43582299952535297,0.2956638526661933,0.4880192408283012,0.541822999525353,1.5591669036047962,1.731063896247134
B1913+16,5486.2,3137.1,165.9,-4.74,0.15,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,4.151340706326089,0.6872408955141771,-0.4933442297283607,-0.8983913882968114,-5.427240895514178,-4.24665577027164,-3.841608611703189,-28.3110384684776,-25.61072407802126
J0348+0432,9403.9,-74.6,-933.8,-5.4,18.2,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,1.525425452128029,-0.0295860909079752,0.015217426377660416,0.008536118738220426,-5.370413909092025,-5.4152174263776605,-5.408536118738221,-0.2975394190317396,-0.2971723142163858
J0437-4715,8155.4,-111.16,-83.4,-0.122,0.164,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,0.14594953100301458,-0.028044760211771345,-0.09194139951946677,-0.10623874547421838,-0.09395523978822864,-0.03005860048053323,-0.015761254525781615,-0.18328414927154407,-0.09610521052305862
J0613-0200,9067.1,-554.5,-156.3,-0.141,0.532,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,1.041039072273467,0.26524033943988795,0.0906296664256765,0.09348015748617863,-0.4062403394398879,-0.2316296664256765,-0.23448015748617862,-0.43539410982270016,-0.44075217572589964
J0737-3039A/B,8429.1,-665.3,-36.1,-1.54,11.3,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,0.7045666114711939,0.027758353265083358,-0.07202860944636919,-0.13465439794442682,-1.5677583532650834,-1.467971390553631,-1.4053456020555732,-0.12990897261536555,-0.1243668674385463
J0740+6620,8984.1,504.0,591.0,0.14,1.91,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,1.1036801212307852,-0.004276333340802045,-0.07257526299922107,-0.09813602913620198,0.14427633334080206,0.21257526299922108,0.238136029136202,0.11129594921425189,0.12467854928596964
J0751+1807,9325.5,-504.7,527.6,-0.8,2.9,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,1.3415789577956274,0.2230054099772014,0.07048961032441896,0.07768644496537289,-1.0230054099772015,-0.870489610324419,-0.877686444965373,-0.3001688311463514,-0.3026504982639217
J1012+5307,8622.6,179.4,677.4,0.224,0.685,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,0.8183189353791105,-0.3074096476619565,-0.27195730951603425,-0.32212533262425724,0.5314096476619565,0.49595730951603423,0.5461253326242572,0.7240252693664733,0.7972632593054849
J1017-7156,7620.6,-1270.9,-284.8,1.09,1.71,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,1.4254831496724185,0.05201532716611818,-0.24140049896501795,-0.3820439126578308,1.037984672833882,1.331400498965018,1.4720439126578309,0.7785967830204784,0.8608443933671526
J1022+1001,8450.4,-419.4,683.2,-0.643,0.32,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,0.8398563924862396,-0.359919277038726,-0.3462633678491125,-0.4224495205132636,-0.283080722961274,-0.2967366321508875,-0.2205504794867364,-0.9273019754715235,-0.6892202483960512
J1125-6014,7547.9,-1385.6,42.7,-0.43,1.75,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,1.5319742360757898,0.10742029012285464,-0.1823298255543829,-0.33191235204466146,-0.5374202901228546,-0.2476701744456171,-0.09808764795533853,-0.14152581396892405,-0.05605008454590773
J1455-3330,7509.1,-343.2,310.8,1.72,1.01,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,0.8317004809425079,0.14253454292302395,-0.07273061768444132,-0.08051892753655022,1.577465457076976,1.7927306176844413,1.8005189275365503,1.7749808095885558,1.782692007461931
J1600-3053,6838.9,-365.4,411.2,0.708,0.242,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,1.468058517226067,0.4115309688346477,0.08195614332184324,0.10893186521019625,0.2964690311653523,0.6260438566781568,0.5990681347898037,2.5869580854469287,2.475488160288445
J1603-7202,7749.3,-352.4,-112.8,0.815,0.252,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,0.5831295653626212,0.12058075473548435,-0.002407865083901472,-0.015805423101786904,0.6944192452645156,0.8174078650839014,0.8308054231017868,3.243682004301196,3.2968469170705825
J1614-2230,7479.1,-83.0,257.3,0.984,0.653,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,0.7699279836452225,0.2030572420030901,0.010092751336375258,0.028664496505006767,0.7809427579969099,0.9739072486636248,0.9553355034949932,1.4914352965752293,1.4629946454747216
J1640+2224,7480.8,556.8,688.1,0.833,0.448,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.2,0.0,1.140507119662126,-0.11373024785538127,-0.3499391536983289,-0.4207137943080768,0.9467302478553812,1.182939153698329,1.2537137943080767,2.6404891823623413,2.798468290866243
