pulsar,x_pc,y_pc,z_pc,aGal_1e10_m_s2,aGal_err_1e10_m_s2,model_outlier_ge3sigma,modified_catalog_excluded,source,doi,sun_R_kpc,sun_z_kpc,distance_from_assumed_sun_kpc,a_moran_linear_pred_1e10,a_mcmillan_baryon_pred_1e10,a_mcmillan_total_pred_1e10,resid_moran_linear_1e10,resid_baryon_1e10,resid_total_1e10,zresid_baryon,zresid_total
B1259-63,6661.5,-2150.5,-27.9,391.0,196.0,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,2.599709389527991,0.31978520901174307,-0.2751769349481226,-0.5182880884967541,390.68021479098826,391.27517693494815,391.5182880884968,1.9963019231374906,1.9975422861657999
B1534+12,7532.5,212.1,721.6,0.106,0.313,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,0.9556166700094763,-0.23959983295156356,-0.4178950858554582,-0.4786923941281162,0.34559983295156355,0.5238950858554582,0.5846923941281162,1.6737862167906012,1.868026818300691
B1913+16,5486.2,3137.1,165.9,-4.74,0.15,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,4.10077564126593,0.6560310799567445,-0.5153596908374989,-0.9268879182299933,-5.396031079956745,-4.224640309162501,-3.813112081770007,-28.164268727750006,-25.420747211800048
J0348+0432,9403.9,-74.6,-933.8,-5.4,18.2,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.58770753289137,0.019201684988217727,0.043168986005580015,0.04244372893963792,-5.419201684988218,-5.44316898600558,-5.442443728939638,-0.29907521901129563,-0.29903536972195816
J0437-4715,8155.4,-111.16,-83.4,-0.122,0.164,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,0.14292538472923563,-0.03102194623019297,-0.0940351553444085,-0.10880835341935233,-0.09097805376980703,-0.0279648446555915,-0.01319164658064767,-0.17051734546092379,-0.0804368693941931
J0613-0200,9067.1,-554.5,-156.3,-0.141,0.532,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.1068486572246452,0.29927549601098646,0.11266197995769042,0.12119733774223627,-0.4402754960109865,-0.2536619799576904,-0.26219733774223625,-0.47680823300317743,-0.492852138613226
J0737-3039A/B,8429.1,-665.3,-36.1,-1.54,11.3,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,0.7336468564643347,0.048891115097068165,-0.05584560112756745,-0.11300060784050216,-1.5888911150970682,-1.4841543988724326,-1.426999392159498,-0.131341097245348,-0.12628313204951308
J0740+6620,8984.1,504.0,591.0,0.14,1.91,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.160393644415549,0.03908820090344867,-0.04274372283475948,-0.06181436556179726,0.10091179909655135,0.18274372283475948,0.20181436556179727,0.0956773417983034,0.10566197149832318
J0751+1807,9325.5,-504.7,527.6,-0.8,2.9,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.4076562435481186,0.2628678323958652,0.09578964403246425,0.10856691306141239,-1.0628678323958654,-0.8957896440324643,-0.9085669130614125,-0.30889298070084975,-0.3132989355384181
J1012+5307,8622.6,179.4,677.4,0.224,0.685,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,0.8611942173516961,-0.2594947656374434,-0.23537197097016893,-0.2789147465745762,0.4834947656374434,0.4593719709701689,0.5029147465745762,0.6706160160148451,0.7341821117877025
